Nametag,Japanese,English
Cooger,粘膜感染‥‥‥つまり、噛まれたり引っ掻かれたりすると感染してしまうんだ。傷口から感染したヴィールスが脳に伝わって‥‥‥。,"Membrane infection... That is, when you get bitten, you get infected. The virus goes from the open wound into the brain..."
Cole,‥‥‥という事は、ジャックはゾンビになっちゃうのか！？,...You mean Jack's going to turn into a zombie?!
Cooger,いや、それは判らない。さっきも言ったように、今まで人間に試した事は一度もないんだ。,"I don't know. As I told you before, I haven't tested the drug on humans at all."
Cooger,だが、１つだけ言える事は、これだけ時間が経っているのにジャックはピクリともしないという事実だ。,But there's one thing I *can* say. It's been a while now and Jack isn't moving at all.
Cooger,人間の方が身体が大きい。つまり体容積が猫に比べて大きいため、キティに噛まれた程度の微量では、効果が現れるまでに多少の時間が必要なんだろう。,"Humans have larger bodies. That is, since our body mass is bigger than that of a cat, the miniscule amount carried by Kitty's bite would take a long time to take effect."
Cooger,確かにキティは飼い猫だけれど、元々が攻撃的な動物だったために狂暴化してしまったのかもしれない。獣よりも人間の方が理性が強いのは説明するまでもないだろう。,"Kitty was a pet cat, but since cats are naturally violent animals her feral instincts must have taken over. Humans, on the other hand, are rational beings."
Cole,つまり‥‥‥人間は猫と違って狂暴性がないって事か？,You mean... humans won't go feral like a cat would?
Cooger,はっきりした事はまだ判らないが、とにかくこのままではラチがあかないからな。一度生き返らせてみるしかないだろう。,"I can't say anything for sure, but... We're making no progress. We have to try and bring him back to life."
Cole,とりあえずジャックが生き返ってくれさえすれば、死刑だけは免れられるよな‥‥‥。,"Yeah, if we do we can avoid the death penalty."
Cole,駄目だったら‥‥‥やっぱり死刑か？,"Cause if it doesn't work... we're dead, right?"
Cooger,コール、離れていたまえ。もし失敗したら、この銃で奴を撃て。,"Cole, please step away. If it fails, shoot him with this gun."
Cole,判った‥‥‥‥‥。,Got it...
Cooger,やった、目を覚ましたぞ！！　コール、銃を構えて！！,"He opened his eyes!! Cole, put the gun away!!"
Cole,ジ、ジャックが‥‥‥‥！！　生き返った‥‥‥！！,J-Jack... came back to life...!!
Cooger,ジャックさん、判りますか！？　私です、クーガーです！！,"Officer Jack, can you understand me?! It's me, Doctor Cooger!!"
Officer Jack,ウ、ウウウウウ‥‥‥‥。,U...Uuuuuuuu.....
Cooger,ジャックさん、聞こえますか！？　ジャックさん、私ですよ！！,"Officer Jack, can you hear me?! It's me, officer Jack!!"
Officer Jack,グァアアアアア！！！\nCole: ドク、危ない！！,"Guaaaaaa!!!\nCole: Doc, look out!!"
Cole,いくら撃っても死なないじゃないか！！\nCooger: コール！！　先に表へ逃げろ、わしもすぐ行く！！,"He doesn't die no matter how much I shoot him!!\nCooger: Cole!! Try to escape, I'll follow soon!!"
Cole,一緒に逃げようよ！！,We should escape together!!
Cooger,さっさと行け！！！,Just go!!
Cole,判った、急いでくれ！！,"Got it, but hurry!!"
Cole,ドク、墓地だ！！,"Doc, it's the graveyard!!"
Cooger,この中へ逃げよう！！　なんとか奴をまくんだ！！,Let's go in!! We'll lose him somehow!!
Cole,ハアハア‥‥何が人間は狂暴性がないだよ！！　ジャックの理性はどこに行ったんだ！？,*pant* *pant*... What was that about humans having no feral instincts?! Where's that rationality you were talking about?!
Cooger,所詮、人間の祖先は猿なのだよ‥‥ハアハア‥‥‥。,"When all is said and done, humans are descended from monkeys... *pant* *pant*"
Cole,は、話が違うじゃないか！！　ハアハア‥‥‥。,T-That's the opposite of what you told me before!! *pant* *pant*
Cole,そ、そのバッグは‥‥？,W-What's in that bag...?
Cooger,蘇生薬だ！　そ、それで奴はまだ追いかけて来てるか‥‥‥？　ハアハア‥‥‥,It's the ressurection drug! B-But is he still after us...? *pant* *pant*
Cole,まだ‥‥まだ追いかけて来てるよ！！,He's... He's still coming!!
Cooger,な、なんてしつこい奴なんだ‥‥‥はあはあ‥‥‥。,H-He's very insistent... *pant* *pant*
Cooger,うわっ！！,Uwa!!
Cole,ドク！！　大丈夫か！？,Doc!! Are you alright?!
Cooger,い、いかん！！　蘇生薬が‥‥‥！！,N-No!! My resurrection drug...!
Cole,ドク、ジャックが来る！！　早く行こう！！,"Doc, Jack is coming!! We have to run!!"
Cooger,私の蘇生薬が！！,My resurrection drug!!
Cole,薬ならまた作ればいいだろ！！　早く逃げよう！！,You can make more later!! Let's run!!
